Highlight,Title,Author,URL,Note,Location
"[iso electric organ","Dr. Lonnie Smith and Cory Henry jam (pt.1)","Phil Curry",https://youtube.com/watch?v=ycGOqlNUs9c,"",""
"interrupt, struct melodica","Dr. Lonnie Smith and Cory Henry jam (pt.1)","Phil Curry",https://youtube.com/watch?v=ycGOqlNUs9c,"",""
"melodica player verbally invites trumpeter to join","Dr. Lonnie Smith and Cory Henry jam (pt.1)","Phil Curry",https://youtube.com/watch?v=ycGOqlNUs9c,"",""
